"","Word","I_Zscore","I_Mean_Accuracy","I_NMG_Zscore","I_NMG_Mean_Accuracy"
"328","yearn",-0.17,0.94,-0.57,0.96
"329","yearned",-0.2,0.84,-0.26,1
"330","yearning",0,0.97,-0.15,1
"331","yearningly",0.78,0.76,0.23,0.93
"332","yearnings",0.01,0.97,-0.19,0.93
"333","years",-0.78,0.97,-0.37,1
"334","year's",-0.55,1,-0.57,0.96
"335","yeast",-0.47,0.97,-0.45,1
"336","yeasts",-0.32,0.91,-0.19,1
"337","yeasty",0.32,0.63,-0.03,1
"338","yeats",-0.22,0.56,0.02,0.74
"339","yell",-0.49,0.91,-0.54,1
"340","yelled",-0.35,0.97,-0.42,1
"341","yeller",0.24,0.78,-0.54,0.96
"342","yelling",-0.52,1,-0.62,1
"343","yellow",-0.66,0.94,-0.76,1
"344","yellowed",-0.02,0.97,-0.49,1
"345","yellowing",0.01,0.88,-0.43,1
"346","yellowish",-0.25,0.94,-0.59,0.96
"347","yelp",-0.17,0.76,-0.61,1
"348","yelped",0.05,0.68,-0.41,1
"349","yelping",0.14,0.74,-0.41,0.96
"350","yelps",0.04,0.65,-0.5,1
"351","yemen",0.1,0.91,-0.06,0.82
"352","yen",-0.11,0.68,-0.59,1
"353","yeoman",0.04,0.3,0.17,0.56
"354","yes",-0.68,1,-0.79,1
"355","yesterday",-0.36,1,-0.51,1
"356","yesterday's",-0.18,1,-0.69,1
"357","yesteryear",0.52,0.72,0.31,1
"358","yet",-0.64,1,-0.62,1
"359","yeti",0.72,0.29,-0.02,0.7
"360","yiddish",0.08,0.76,-0.29,1
"361","yield",-0.65,0.97,-0.3,0.96
"362","yielded",-0.31,0.97,-0.29,1
"363","yielding",-0.34,0.88,-0.29,1
"364","yields",-0.35,0.91,-0.34,1
"365","yin",0.23,0.38,-0.26,1
"366","yip",0.46,0.32,-0.44,0.96
"367","yippee",0.57,0.7,-0.1,0.96
"368","yodel",0.37,0.63,-0.19,1
"369","yodeling",0.44,0.52,0.06,0.96
"370","yoga",-0.42,0.94,-0.58,1
"371","yogurt",-0.2,0.94,-0.67,1
"372","yoke",-0.31,0.81,-0.68,1
"373","yokel",-0.27,0.35,-0.54,0.89
"374","yokels",0.36,0.29,-0.31,0.89
"375","yolk",-0.14,0.89,-0.53,0.89
"376","yon",0.04,0.06,-0.43,0.56
"377","yonder",0.24,0.74,-0.3,1
"378","yonkers",-0.08,0.68,-0.56,0.96
"379","yore",0.12,0.28,-0.27,0.89
"380","york",-0.55,0.91,-0.89,1
"381","yorker's",0.15,0.88,-0.3,0.93
"382","york's",-0.51,0.97,-0.59,1
"383","yorkshire",-0.11,0.97,-0.18,0.89
"384","yorktown",0,0.97,-0.53,0.96
"385","yosemite",0.2,0.79,0.36,0.88
"386","you",-0.6,1,-0.71,1
"387","you'd",0.26,0.5,-0.29,1
"388","you'll",-0.22,0.94,-0.42,1
"389","young",-0.4,0.91,-0.7,1
"390","younger",-0.54,0.97,-0.59,1
"391","youngest",-0.3,0.91,-0.44,1
"392","youngish",0.02,0.84,-0.32,0.93
"393","young's",0.04,0.91,-0.57,0.96
"394","youngster",-0.22,0.94,-0.52,1
"395","youngsters",-0.17,1,-0.42,1
"396","youngster's",-0.13,0.97,-0.47,1
"397","your",-0.62,0.97,-0.65,1
"398","you're",-0.29,1,-0.4,1
"399","yours",-0.42,0.97,-0.65,1
"400","yourself",-0.47,1,-0.62,1
"401","yourselves",0.18,0.94,-0.33,1
"402","youth",-0.42,0.94,-0.28,0.96
"403","youthful",-0.15,0.97,-0.36,1
"404","youths",-0.27,0.94,-0.37,1
"405","you've",-0.35,0.91,-0.43,1
"406","yowl",0.4,0.24,-0.38,0.96
"407","yucatan",0.31,0.73,0.63,0.81
"408","yucca",0.45,0.38,0.42,0.7
"409","yugoslav",0.58,0.73,0.37,1
"410","yugoslavia",0.25,0.87,0.18,1
